time,score,people
1993,8.4,64641
1959,8.8,19338
2000,7.8,64220
2015,5.9,33919
2012,5.9,158019
2010,7.7,59911
2014,8.9,6077
2004,9.2,36254
2012,8.6,50038
2014,5.9,25232
2012,8.4,70515
2017,5.6,559
2014,7.4,39091
2012,7.0,184050
2000,8.5,45887
2017,6.0,2827
1993,8.3,39369
2001,7.0,50049
2016,7.5,5475
2010,8.3,63229
2017,6.9,46137
2014,5.1,69589
1955,8.5,71109
2004,7.9,78431
2007,8.0,176246
2004,8.1,49096
1946,9.2,31047
2016,8.3,13169
1960,8.7,15119
2015,5.8,94146
2015,6.4,7563
2015,6.2,51429
1999,8.6,21201
2010,7.6,62588
2009,8.9,226946
2017,5.2,1381
2012,8.3,72118
1992,8.1,76455
1999,8.6,58456
2017,5.2,963
2013,6.2,59120
2002,7.0,115105
2015,4.1,80557
2017,6.7,419
2011,6.8,115235
2016,6.8,16386
1991,8.5,57062
2009,7.4,44582
1964,8.0,44911
1998,7.8,40306
1993,8.2,27944
2016,5.1,41526
2004,8.0,68299
2014,5.8,116278
2016,8.9,8126
2013,8.3,7264
2016,4.1,5621
2015,6.4,33743
1992,7.9,52821
1995,7.8,55257
2009,8.1,14781
2016,8.6,13759
2006,8.0,93507
1987,9.5,57847
1931,9.2,39456
1994,7.4,69881
1994,7.7,17438
2011,7.3,48870
2017,4.7,2224
2006,7.7,74621
2017,,
2016,8.0,17797
2017,5.5,3959
2014,7.4,173334
2017,6.9,8818
2009,8.3,119605
2016,7.4,4909
2015,7.7,11616
1999,7.8,12226
2002,7.2,78804
2017,8.4,7230
2005,4.8,103381
2014,5.5,72547
1940,8.2,32921
1988,8.8,11901
1986,7.4,19019
1957,9.6,79413
2002,7.0,33147
2015,6.0,58367
2017,,
2002,7.6,54906
1988,8.7,104141
2016,7.4,59329
2011,4.4,85260
2009,7.2,141316
2001,7.9,161910
2011,7.4,42850
1995,7.0,1734
2013,4.8,38681
2015,7.3,7762
1962,8.4,19689
2017,5.6,3024
2010,8.3,27918
2016,7.2,865
2016,7.5,697
2004,8.5,103796
2017,7.8,6275
1999,7.7,26139
2012,7.4,27909
2011,5.9,90636
2017,5.8,3503
2016,4.8,27713
2017,5.7,735
2007,7.4,42809
2016,5.6,12790
1998,8.1,146864
1993,7.7,42473
1991,8.2,25436
2007,8.1,32422
1990,8.2,27322
2012,3.2,982
1986,8.9,34815
2014,5.6,88732
2012,7.8,16443
1993,8.6,78428
2006,7.6,4429
2009,7.5,55100
2002,7.9,33825
2011,8.4,214254
2009,7.7,87655
2016,8.7,16998
2017,7.3,3527
2010,7.3,75913
2010,6.3,200607
2012,7.5,67755
2015,6.5,37871
2013,8.5,204422
1991,8.1,26020
2004,6.7,66754
1993,7.8,15238
2004,8.5,22487
2010,5.6,171958
1991,7.3,44520
2017,9.1,1364
2016,6.4,6752
2008,8.2,167778
2001,7.5,40597
2015,7.2,23783
2004,7.2,62644
1985,8.5,51347
2016,4.7,10769
2016,8.2,16988
2017,5.3,1472
2015,5.3,368
2009,8.8,39120
2011,6.0,44210
2013,7.3,17514
2017,8.5,478
2003,7.3,40343
2017,6.7,3312
1997,7.7,36469
1994,7.8,22225
2000,8.0,30812
2016,7.3,29854
1998,7.9,41608
2012,7.4,25655
2014,7.7,77134
2003,7.4,30439
2007,7.9,32676
2011,6.6,76505
1993,8.1,46559
2016,7.6,17532
2016,8.0,15475
2016,8.7,9555
2017,6.1,1101
2010,5.9,97694
2010,7.3,17324
1998,8.5,34810
1998,7.9,48913
2012,7.1,47882
2000,6.8,32849
2015,6.8,9775
2016,6.1,2595
2017,6.7,8345
2017,9.2,1332
2017,5.6,208665
2004,8.7,55967
2006,7.2,99387
1986,7.7,29645
2017,6.3,2556
2008,7.7,31792
2015,5.7,205253
2001,7.4,48041
2017,6.4,1819
2017,7.2,12888
2016,5.2,3959
2007,7.4,22529
2013,7.1,37353
2017,7.8,1027
2009,7.9,122651
2012,7.5,124405
2013,7.1,12718
2008,8.1,859
2011,7.9,58944
1957,9.0,11185
1999,7.1,69799
1980,8.5,8215
2016,7.6,15853
1988,8.2,88795
2004,6.9,94131
2011,5.6,27976
2014,6.9,110849
2015,7.5,24519
1996,7.4,23705
2016,7.3,36234
2013,7.2,57688
2005,7.8,58612
2016,8.6,42121
2015,7.7,18205
2016,5.1,518
2001,7.9,31602
2017,5.6,851
2002,7.4,151021
2013,5.8,56499
2001,6.7,48050
2017,7.3,88310
2017,3.8,10699
2016,5.2,36724
2016,3.6,42313
2017,7.8,1119
2013,7.6,3604
2017,4.7,11824
2000,8.2,32473
1939,8.4,1576
2013,7.6,34045
1999,7.4,45742
1995,8.0,45310
2001,7.6,19039
2015,7.8,109908
2013,8.3,21119
2001,7.4,52368
2007,6.3,121186
2002,7.4,18981
2001,7.6,46497
2012,9.1,13915
2013,6.3,35102
2015,8.0,826
2016,7.0,1053
2014,5.8,64466
2012,8.3,19998
1994,7.9,34182
2012,7.5,51271
2015,5.7,41424
2015,6.1,7552
2016,5.0,18899
2014,4.8,32641
2015,8.1,41781
2016,5.9,7496
2003,9.3,20536
1994,8.0,73568
1975,8.1,10499
2006,6.9,85525
2015,7.4,9476
2015,8.3,37348
1994,8.7,10853
2012,6.7,204465
2014,5.4,72965
1996,8.4,3376
2006,7.3,45769
2001,7.2,92126
2007,7.3,23035
2003,8.5,16279
2016,7.2,170711
2017,6.4,5416
2012,8.0,40596
2017,4.4,5160
2000,8.1,51731
2009,7.6,87865
1974,8.5,13444
2013,7.4,1267
2017,3.3,5380
2005,7.2,22130
2014,6.2,109207
2015,7.5,19893
1995,7.7,48902
2004,8.1,5280
2011,5.6,82280
2017,8.5,150
2015,7.7,21663
2009,7.3,65204
2002,7.8,26840
1999,8.2,12845
2016,5.6,1074
1958,8.5,34132
2000,8.7,36093
2014,8.3,35496
2009,8.4,73707
1995,7.9,42626
2009,7.8,57192
2014,5.3,70726
2014,8.0,232151
1998,7.4,60513
1960,8.3,16126
2001,8.1,45762
2014,6.0,35557
1993,8.5,14992
2003,7.7,40377
2014,6.3,170962
2012,7.2,139952
2012,8.0,52781
2015,3.2,737
2016,9.3,13196
2004,7.8,51646
2010,7.2,42343
2016,6.4,109
2016,4.3,16086
2008,7.7,75940
2017,6.8,1543
2006,7.8,54114
2014,6.3,11621
2016,5.8,4140
1985,8.6,11333
1994,8.3,4713
2017,8.4,636
2013,5.5,85037
2016,7.6,11210
2015,5.0,40728
2011,6.9,22399
2017,8.1,4168
2016,7.7,2287
1991,7.0,7060
2014,8.4,11792
2013,6.5,11419
2016,7.7,11487
2014,6.8,28084
2017,7.9,482
2014,8.7,11001
2011,7.9,9591
2010,7.0,87034
2008,8.0,28499
2014,6.3,20940
2005,7.8,97286
2001,7.8,114995
2016,6.7,4358
1997,7.4,63023
2016,6.1,7830
2001,7.3,36481
2017,4.9,1440
2013,7.1,128123
2000,8.9,52932
1997,8.2,128619
2016,7.4,17476
2014,8.1,17982
2006,6.9,29835
2016,7.0,20424
2012,7.9,25543
2005,5.3,81212
2009,7.9,54108
2013,7.6,9345
2011,7.1,20823
2015,8.1,16119
2008,7.5,38704
2012,7.2,22240
1948,8.6,19645
2011,6.6,77842
1982,8.3,8688
2012,7.5,30311
2011,8.0,53988
2010,9.2,95032
1994,7.3,42995
2008,7.8,38456
2002,8.4,12988
2016,7.0,7765
2013,8.9,29760
2017,7.4,1617
1984,8.6,24413
2016,7.5,5893
2013,7.4,16014
1995,8.9,71617
2009,6.0,150214
2014,7.9,9371
2016,6.7,1218
2006,8.3,47492
2009,8.7,86323
2014,5.2,4575
2017,7.1,313
2014,8.0,10069
2016,6.7,8913
2015,8.2,15485
2012,6.8,143927
2010,6.6,70235
2013,7.5,8307
2017,6.2,935
2009,8.3,72838
2016,7.2,3150
2006,8.8,58420
2017,6.2,507
2017,6.0,807
1992,8.3,87251
1996,7.7,15064
1963,7.7,26548
2013,8.2,38197
2017,4.8,4274
1997,7.9,121409
2015,5.6,25808
2016,7.5,31384
2012,7.3,58824
2016,6.6,400
,8.5,28611
2013,8.0,264239
2016,6.1,6232
2006,7.5,23709
2003,8.8,19512
2000,7.2,23295
2003,6.9,93175
2009,7.6,66523
2009,7.1,18132
2015,4.6,4531
2016,4.7,21907
2008,8.7,19579
2017,6.5,315
2009,7.7,30875
2007,7.7,81154
2016,9.3,409
1992,7.7,86913
1979,8.0,13939
2014,4.5,56992
1991,8.2,33343
2015,8.7,68922
1997,8.1,13444
1974,8.4,4788
2017,5.9,920
2012,5.4,45406
2013,6.8,106520
1990,6.9,14906
2014,7.2,22638
2015,7.8,24732
1972,7.3,21860
2014,6.5,26176
2017,5.4,1114
2001,8.3,83428
2012,7.3,25429
2016,4.8,8095
1996,7.8,20898
2017,5.0,3353
2014,7.1,24872
2012,6.7,10415
2000,8.3,13451
1997,8.2,24829
2011,8.1,18163
2011,7.1,143137
2016,6.1,9796
2004,7.5,13792
2004,7.9,11219
2016,7.3,40366
2010,7.6,41985
2016,6.7,3746
2015,7.8,9171
2014,6.4,72162
2012,6.6,20139
1998,7.3,57991
2012,8.4,74128
2017,4.8,52366
2007,7.1,39410
2016,6.7,15879
2014,8.8,34341
2012,6.2,52145
2014,7.4,43021
2014,7.5,25183
2002,8.7,26047
1987,8.5,21230
2012,6.8,127334
2003,7.4,116642
1997,8.0,19541
1999,7.7,73537
2001,7.8,15952
2009,6.6,65857
2008,8.6,31887
2016,4.4,11547
1959,7.7,19746
2005,8.2,9176
1977,8.8,12123
2010,7.8,7298
2006,7.6,71644
1996,7.8,11603
2011,7.7,45351
2005,7.8,42246
2017,,
1999,7.4,23485
2009,7.4,20743
2002,8.3,7637
1998,7.8,90471
2014,6.5,60991
2005,7.3,18078
2016,7.1,11543
2004,8.7,34255
2006,9.1,83724
2012,9.0,4467
2008,6.7,56387
2009,7.3,37789
2016,7.1,5842
2005,8.2,2901
2009,4.1,16351
2012,7.2,40295
2017,3.9,707
2006,5.6,89545
2005,7.4,39900
2015,8.5,233180
2011,7.7,58500
2011,7.3,46382
2015,7.4,4614
2015,6.9,8595
2017,6.4,3508
2015,7.4,3864
1997,7.4,22375
1954,7.7,14094
2014,7.2,5722
2006,6.7,15792
2014,7.3,122990
2011,7.2,32688
2012,7.3,20398
2012,7.3,51637
2008,7.0,52455
2014,7.5,22245
2010,8.6,50298
1994,7.1,21858
2017,6.3,2045
2017,7.7,3320
1921,8.5,735
2002,7.1,17339
2010,6.5,18572
2010,7.0,74264
2017,8.6,1394
2016,7.1,6967
2017,8.1,218
2010,6.9,33952
2011,5.3,80221
2010,7.6,53440
2017,4.6,3191
2004,7.8,113369
1997,8.5,3516
1980,7.8,28891
1962,8.4,7867
1986,8.1,5360
2016,7.2,8067
2017,6.1,309
2010,7.5,88960
2012,8.5,58109
2017,8.5,190
1994,8.1,9272
2007,8.0,42321
2010,7.7,63992
2006,9.1,33556
2009,7.2,7753
2017,6.9,489
2016,7.1,13691
2017,4.8,3519
2012,7.6,16664
2014,8.5,11874
2017,6.5,107
2016,9.4,12452
2002,8.7,15399
2010,7.3,11070
2016,7.2,16158
2015,8.1,13982
2004,7.2,43166
2012,8.7,124526
2016,6.0,29064
2010,7.4,71976
2013,4.5,45460
2013,5.5,4964
2014,7.3,9389
2016,3.9,2496
2012,8.2,34472
1973,8.9,3760
1993,8.3,6858
2016,7.4,3335
1955,7.4,13843
2015,6.5,25459
2010,7.2,89818
2015,9.2,5078
2016,6.8,19460
2005,7.8,54195
2005,7.7,19721
2007,5.3,47230
2003,7.8,3857
2014,7.9,14453
1988,7.5,6244
2011,8.2,61011
1990,7.7,24510
,8.7,1340
2005,7.9,38975
1996,7.4,14264
2004,6.6,39212
2006,7.4,34682
2015,6.9,36310
2000,7.9,13103
2006,7.7,100478
2000,8.0,13998
2009,8.0,32631
2014,9.2,30724
2016,4.9,8286
2016,8.7,4422
2004,7.1,106308
2005,7.7,32025
2012,6.2,80381
2009,8.9,42993
2017,3.1,45720
2013,7.5,19028
2006,9.4,35467
2015,5.5,11574
2004,7.6,38123
2017,4.6,7684
2017,6.8,155
2016,5.7,17811
2004,8.8,3698
,,
2010,7.6,10888
,7.2,37072
2003,9.8,42432
2016,7.0,6293
2017,8.4,1292
2016,7.2,1759
2010,6.9,99758
2005,6.4,18308
2004,6.8,44742
2016,7.5,188
1996,8.6,103444
2017,5.2,1220
1961,8.8,4979
1995,7.7,14411
1995,8.1,14062
1998,8.5,21641
2016,6.3,14286
2008,7.5,46226
1992,7.3,13341
2009,8.3,30478
1977,8.3,3102
1999,7.8,12748
1992,8.4,44037
2015,3.9,39728
2011,6.9,60582
2004,6.9,28672
2008,7.6,15624
2013,8.5,38343
2017,5.8,5121
1996,8.2,14070
2014,5.3,30205
2008,7.6,39723
2011,7.2,46494
2017,,
2016,8.0,1768
2016,5.9,15484
2014,3.4,132
2007,7.3,12259
2014,8.0,30706
2013,6.7,13494
2011,5.6,55455
2006,7.4,14765
2011,9.2,25543
2007,7.3,38802
2012,8.4,22974
2009,7.2,43881
2008,6.7,45421
1998,8.4,89969
2012,6.9,10690
2012,4.6,2152
2008,7.6,65688
2014,8.2,13263
1997,8.0,76668
2003,4.6,18211
2014,7.0,1287
2014,8.3,8956
2016,5.8,86
2000,6.7,62929
1985,9.2,19783
1998,6.6,26178
2002,8.3,28545
2007,6.3,19648
2016,8.0,310
2016,9.0,16884
1997,7.7,10830
2011,7.8,29075
1994,8.8,14491
2011,7.2,113121
2016,3.4,10683
2017,5.1,2993
2017,7.6,1327
2015,7.5,2618
1995,8.1,22553
1998,7.8,14567
2017,,
2016,6.7,3886
2002,7.0,17192
2017,7.5,38362
2004,5.6,95938
2004,7.8,38930
2005,7.5,18997
2009,7.7,15970
2012,5.8,94877
2014,7.6,14072
2003,6.6,20886
2016,6.3,431
2017,6.6,26361
2010,7.3,15723
2014,7.3,36587
2015,6.2,26135
2012,8.9,47355
2015,5.8,39604
2012,8.7,21611
2017,3.8,893
2012,6.6,24198
2010,6.7,74931
2016,6.6,22843
2013,7.1,25123
2016,8.8,2948
2016,7.6,3025
2016,4.7,19416
2017,7.2,230
2015,7.1,7413
2017,2.0,358
2013,6.8,7353
2014,6.5,3804
2011,6.6,174976
2014,8.6,4958
2005,7.8,11489
1995,8.1,94928
2011,7.5,81721
1991,8.3,90867
1988,8.1,18134
2017,4.5,3585
1993,6.5,11481
2016,7.4,12237
2007,8.5,43411
2003,7.1,23253
2014,7.1,369028
2004,6.9,18851
2000,8.9,20249
2016,6.8,615
2005,8.9,39083
1996,8.4,25634
1997,7.3,13291
2007,7.2,11590
2008,9.3,12957
2016,4.5,12693
2015,6.7,8189
2004,5.9,54879
2008,9.3,99748
1997,8.7,76757
1990,7.5,12096
1998,8.6,12144
2014,7.6,16646
2004,7.3,32690
2005,6.9,56626
1996,8.2,4836
2013,8.0,4030
2011,6.2,35410
2013,8.9,39901
2000,8.5,9782
2008,6.9,61158
2011,8.3,36764
2015,3.6,409
2009,7.1,54511
2012,6.1,104646
2011,7.1,14609
2004,7.4,87013
2015,6.3,9847
2015,4.6,16549
2014,4.9,62188
2010,5.7,7430
2015,6.4,60006
2007,8.2,2221
2015,8.0,104517
2008,5.2,72558
2017,3.6,79
2013,7.1,9520
2007,7.7,22882
2009,7.3,30438
2015,6.5,9643
2014,7.0,30365
2016,9.3,252
2012,5.8,60958
2016,7.3,11169
2015,5.4,6376
2006,7.7,13696
2011,7.3,352
2012,7.4,2284
2017,7.1,256
2014,7.7,8969
2015,9.0,20540
2016,8.3,4538
2009,6.4,47743
2007,5.6,10642
2013,7.6,33027
2004,7.5,65633
2004,7.0,47187
1989,7.6,25403
1996,8.1,8840
1982,7.5,8402
1997,8.1,13284
2014,8.0,7082
2007,8.0,48961
2014,6.0,23254
2013,7.8,14743
1955,8.7,4097
1997,8.4,11336
1990,6.8,26096
2009,8.8,55496
1964,7.8,5459
2010,7.5,25934
2016,7.3,4555
2009,7.9,47143
2015,7.1,2541
2017,7.7,469
2011,4.7,85870
2010,7.0,27344
2011,4.9,47276
2010,7.7,124744
2016,4.8,9363
2003,6.6,30725
2006,7.2,31329
1997,7.3,19997
2004,6.7,44567
2004,6.8,75574
2012,7.5,7002
2006,8.0,16969
2016,7.4,9174
2014,8.5,78548
2014,9.1,24852
2012,5.9,43851
2014,8.2,8163
2008,7.2,12358
2017,,
2015,7.9,36332
2005,7.8,10163
2014,8.3,115199
2011,5.7,49789
2008,7.4,5534
2008,8.2,28655
2011,7.6,27857
2015,4.5,13718
2014,4.6,56671
2004,6.7,30290
2013,8.1,14350
2007,6.9,42949
2011,7.2,6488
1990,7.6,14668
1950,8.1,26727
2013,7.7,146581
1998,7.5,110356
1968,8.7,5489
2012,8.0,20235
2016,7.1,4730
2009,7.1,54761
2017,6.4,2951
2017,7.5,393
2005,7.3,7479
2007,7.5,15306
2008,6.0,108795
2014,7.8,6192
1966,8.4,4706
2016,4.2,3624
1990,7.4,16656
2014,5.5,9820
2015,7.7,6312
1997,7.7,20122
2015,6.5,7083
2014,7.3,12435
2017,9.1,635
2002,8.8,7890
2005,6.5,22326
2016,8.1,2293
2014,4.8,343
2015,8.7,9630
2013,7.3,134864
2005,8.1,6663
2002,7.0,34933
2016,6.8,15168
2015,7.2,20537
1999,6.4,35994
1997,8.6,16550
2016,3.7,16334
,8.3,10063
2008,7.5,29879
2015,7.3,6212
2009,8.5,39642
2014,7.3,6820
2016,7.5,3076
2014,7.5,10324
2016,3.9,9464
2012,8.3,7852
2013,8.3,2659
2006,5.5,11882
2016,3.4,4867
2005,9.3,30172
2006,6.7,47196
2010,6.6,35978
2009,7.0,26401
,8.3,9880
2014,8.2,19101
2015,4.7,31228
2015,8.2,383
2017,6.6,6928
2017,6.3,380
2017,7.6,108
2010,7.7,16242
2015,5.4,3798
2012,7.4,14793
2004,8.7,11831
2006,6.5,26394
2011,8.8,16963
2011,5.2,5610
1995,9.7,45042
2011,7.0,90746
2015,5.3,31002
2015,5.1,3408
2005,6.3,30625
2010,8.3,6035
2015,4.2,9538
2016,5.4,21056
2009,7.8,34142
2010,8.2,3656
2014,7.1,1357
2016,5.0,11218
2017,6.2,2865
2014,6.8,1741
1997,7.7,11507
2004,7.9,33281
2002,7.8,124947
2007,7.9,89607
,,
2011,8.7,8613
2017,8.3,2749
1966,8.1,6574
2017,6.6,888
2017,9.0,96
2016,7.8,2869
,8.1,5627
2016,6.2,2715
2012,7.8,39758
2014,5.9,15791
2004,7.1,14575
2012,8.0,19212
2017,,
1957,8.4,20662
2016,6.7,2905
1997,8.5,5744
2016,6.7,1904
1925,9.0,15083
2015,3.9,934
